# REMOVE from the cn category: delegated to a non-CN country per RIR data.
# Owners include Apple (17/8), Cloudflare (104.28/16), AWS, Microsoft, Cisco, Nokia, Siemens.
104.28.230.172/30  # US:4
104.28.231.200/30  # US:4
104.28.236.184/30  # US:4
104.28.239.248/30  # US:4
104.28.240.28/30  # US:4
104.28.240.68/30  # US:4
104.28.240.136/30  # US:4
104.28.240.148/30  # US:4
104.28.241.248/30  # US:4
104.28.243.8/30  # US:4
104.28.243.44/30  # US:4
104.28.244.132/30  # US:4
104.28.244.136/30  # US:4
104.28.245.172/30  # US:4
104.28.245.200/30  # US:4
104.28.248.52/30  # US:4
104.28.248.56/30  # US:4
104.28.248.132/30  # US:4
104.28.248.136/30  # US:4
104.28.248.192/30  # US:4
104.28.251.48/30  # US:4
104.28.251.112/30  # US:4
104.28.252.208/30  # US:4
104.28.253.4/30  # US:4
104.28.254.60/30  # US:4
104.28.255.76/30  # US:4
104.28.255.164/30  # US:4
104.28.255.180/30  # US:4
104.28.255.200/30  # US:4
202.163.8.80/30  # SE:4
5.154.155.54/31  # GB:2
5.154.155.58/31  # GB:2
5.154.156.38/31  # GB:2
5.154.156.42/31  # GB:2
5.154.156.50/31  # GB:2
5.154.156.54/31  # GB:2
17.85.38.72/31  # US:2
17.87.72.224/31  # US:2
17.87.138.160/31  # US:2
17.88.73.0/31  # US:2
17.88.80.160/31  # US:2
17.88.96.144/31  # US:2
17.88.104.64/31  # US:2
17.88.112.126/31  # US:2
17.94.3.0/31  # US:2
103.24.83.232/31  # IN:2
104.28.9.46/31  # US:2
104.28.37.44/31  # US:2
104.28.66.16/31  # US:2
104.28.66.30/31  # US:2
104.28.66.74/31  # US:2
104.28.66.92/31  # US:2
104.28.66.104/31  # US:2
104.28.69.30/31  # US:2
104.28.69.74/31  # US:2
104.28.69.92/31  # US:2
104.28.69.104/31  # US:2
104.28.83.2/31  # US:2
104.28.83.46/31  # US:2
104.28.83.64/31  # US:2
104.28.83.76/31  # US:2
104.28.99.40/31  # US:2
104.28.99.62/31  # US:2
104.28.101.40/31  # US:2
104.28.101.62/31  # US:2
104.28.117.72/31  # US:2
104.28.117.98/31  # US:2
104.28.120.72/31  # US:2
104.28.120.98/31  # US:2
104.28.143.54/31  # US:2
104.28.162.190/31  # US:2
104.28.192.14/31  # US:2
104.28.192.130/31  # US:2
104.28.192.198/31  # US:2
104.28.193.34/31  # US:2
104.28.193.102/31  # US:2
104.28.195.18/31  # US:2
104.28.195.194/31  # US:2
104.28.197.94/31  # US:2
104.28.198.176/31  # US:2
104.28.199.204/31  # US:2
104.28.204.182/31  # US:2
104.28.207.252/31  # US:2
104.28.208.32/31  # US:2
104.28.208.66/31  # US:2
104.28.208.126/31  # US:2
104.28.208.152/31  # US:2
104.28.209.246/31  # US:2
104.28.211.6/31  # US:2
104.28.211.42/31  # US:2
104.28.213.170/31  # US:2
104.28.213.176/31  # US:2
104.28.213.204/31  # US:2
104.28.216.60/31  # US:2
104.28.216.190/31  # US:2
104.28.219.46/31  # US:2
104.28.219.52/31  # US:2
104.28.219.110/31  # US:2
104.28.220.212/31  # US:2
104.28.221.2/31  # US:2
104.28.222.64/31  # US:2
104.28.223.80/31  # US:2
104.28.223.162/31  # US:2
104.28.223.178/31  # US:2
104.28.223.204/31  # US:2
104.28.224.14/31  # US:2
104.28.224.130/31  # US:2
104.28.224.198/31  # US:2
104.28.225.34/31  # US:2
104.28.225.102/31  # US:2
104.28.227.18/31  # US:2
104.28.227.194/31  # US:2
104.28.229.94/31  # US:2
104.28.230.176/31  # US:2
104.28.231.204/31  # US:2
104.28.236.182/31  # US:2
104.28.239.252/31  # US:2
104.28.240.32/31  # US:2
104.28.240.66/31  # US:2
104.28.240.126/31  # US:2
104.28.240.152/31  # US:2
104.28.241.246/31  # US:2
104.28.243.6/31  # US:2
104.28.243.42/31  # US:2
104.28.245.170/31  # US:2
104.28.245.176/31  # US:2
104.28.245.204/31  # US:2
104.28.248.60/31  # US:2
104.28.248.190/31  # US:2
104.28.251.46/31  # US:2
104.28.251.52/31  # US:2
104.28.251.110/31  # US:2
104.28.252.212/31  # US:2
104.28.253.2/31  # US:2
104.28.254.64/31  # US:2
104.28.255.80/31  # US:2
104.28.255.162/31  # US:2
104.28.255.178/31  # US:2
104.28.255.204/31  # US:2
104.44.213.0/31  # US:2
134.75.107.10/31  # KR:2
134.75.107.14/31  # KR:2
140.248.33.2/31  # US:2
146.75.187.2/31  # US:2
146.75.189.2/31  # US:2
146.75.196.0/31  # US:2
17.88.207.192/32  # US:1
17.94.0.22/32  # US:1
17.94.0.54/32  # US:1
17.94.0.93/32  # US:1
103.24.83.249/32  # IN:1
103.24.83.250/32  # IN:1
103.24.83.253/32  # IN:1
103.158.222.241/32  # NL:1
104.28.9.48/32  # US:1
104.28.66.15/32  # US:1
104.28.99.42/32  # US:1
104.28.148.204/32  # US:1
104.28.156.204/32  # US:1
104.28.192.13/32  # US:1
104.28.192.20/32  # US:1
104.28.192.136/32  # US:1
104.28.192.197/32  # US:1
104.28.193.33/32  # US:1
104.28.193.101/32  # US:1
104.28.193.108/32  # US:1
104.28.195.24/32  # US:1
104.28.195.200/32  # US:1
104.28.197.93/32  # US:1
104.28.197.100/32  # US:1
104.28.198.171/32  # US:1
104.28.199.206/32  # US:1
104.28.204.188/32  # US:1
104.28.207.254/32  # US:1
104.28.208.27/32  # US:1
104.28.208.72/32  # US:1
104.28.208.140/32  # US:1
104.28.208.147/32  # US:1
104.28.209.252/32  # US:1
104.28.211.12/32  # US:1
104.28.211.41/32  # US:1
104.28.213.199/32  # US:1
104.28.216.62/32  # US:1
104.28.216.189/32  # US:1
104.28.219.109/32  # US:1
104.28.220.207/32  # US:1
104.28.221.8/32  # US:1
104.28.222.59/32  # US:1
104.28.222.66/32  # US:1
104.28.223.75/32  # US:1
104.28.223.168/32  # US:1
104.28.223.177/32  # US:1
104.28.223.206/32  # US:1
104.28.224.13/32  # US:1
104.28.224.20/32  # US:1
104.28.224.136/32  # US:1
104.28.224.197/32  # US:1
104.28.225.33/32  # US:1
104.28.225.101/32  # US:1
104.28.225.108/32  # US:1
104.28.227.24/32  # US:1
104.28.227.200/32  # US:1
104.28.229.93/32  # US:1
104.28.229.100/32  # US:1
104.28.230.171/32  # US:1
104.28.231.206/32  # US:1
104.28.236.188/32  # US:1
104.28.239.254/32  # US:1
104.28.240.27/32  # US:1
104.28.240.72/32  # US:1
104.28.240.140/32  # US:1
104.28.240.147/32  # US:1
104.28.241.252/32  # US:1
104.28.243.12/32  # US:1
104.28.243.41/32  # US:1
104.28.245.199/32  # US:1
104.28.248.62/32  # US:1
104.28.248.189/32  # US:1
104.28.251.109/32  # US:1
104.28.252.207/32  # US:1
104.28.253.8/32  # US:1
104.28.254.59/32  # US:1
104.28.254.66/32  # US:1
104.28.255.75/32  # US:1
104.28.255.168/32  # US:1
104.28.255.177/32  # US:1
104.28.255.206/32  # US:1
104.30.161.11/32  # US:1
104.212.68.57/32  # US:1
104.212.68.58/32  # US:1
104.212.68.102/32  # US:1
104.212.68.151/32  # US:1
104.212.68.152/32  # US:1
139.95.4.34/32  # US:1
204.79.135.24/32  # US:1
